short_description_text, short_description_tts, tip_content_text, tip_content_tts, topic_name
"Не есть на ночь","Не е+сть на ночь","Советую вам не есть на ночь перед сном. Это может привести к риску ожирения. Рекомендуется выделить себе постоянный график приёма пищи, например, не есть 4 часа после пробуждения и за 4 часа до сна.","Сов+етую вам не есть на ночь п+еред сном. Это м+ожет привест+и к р+иску ожир+ения. Рекоменд+уется в+ыделить себе посто+янный график при+ёма пищи, например, не есть 4 часа после пробужд+ения и за 4 часа до сна.","ночной"
"Пропустить как можно меньше света в спальном помещении","Пропуст+ить как можно меньше света в спальном помещении","Постарайтесь как можно сильней избежать попадания света в ваше помещение. Ваш организм привык спать в темноте, поэтому при таких условиях будет гораздо быстрее вырабатываться ваш гормон сна — мелатонин.","Постар+айтесь как можно сильн+ей избеж+ать попад+ания св+ета в ваше помещ+ение. Ваш орган+изм привык спать в темнот+е, поэтому при таких условиях будет гораздо быстрее выраб+атываться ваш гормон сна — мелатон+ин.","Дневной"
"Ограничьтесь от раздражителей","Ограничьтесь от раздражителей","Ничто не должно потревожить ваш и без того непродолжительный дневной сон. Если ваш отдых будет сопровождаться периодическими пробуждениями, от него не появится никакого эффекта. На время сна изолируйтесь от всего, что может ему помешать.","Ничт+о не должно потрев+ожить ваш и без того непродолж+ительный дневной сон. Если ваш отдых будет сопровождаться период+ическими пробужд+ениями, от него не появится никакого эффекта. На время сна изол+ируйтесь от всег+о, что может ему помешать.","Дневной"
"Обеспечьте тишину","Обеспечьте тишину","Тишина — ваш главный помощник по сну, после меня. Если обстоятельства не позволяют обеспечить достаточную тишину, вам могут помочь беруши.","Тишин+а — ваш гл+авный пом+ощник по сну, после меня. Если обсто+ятельства не позвол+яют обесп+ечить дост+аточную тишину, вам могут помочь бер+уши.","Дневной"
"Вялость мышц","Вялость мышц","Если вы испытываете небольшую слабость и вялость мышц после сна — не беспокойтесь, это нормально. Чтобы быстрее взбодриться и вернуться в энергичное состояние, сделайте несколько лёгких физических упражнений, включите яркий свет или подойдите к окну. Моментальный прилив хорошего настроения гарантирован!","Если вы исп+ытываете небольшую сл+абость и в+ялость мышц после сна — не беспок+ойтесь, это нормально. Чтобы быстрее взбодр+иться и верн+уться в энерг+ичное состо+яние, сд+елайте н+есколько л+ёгких физ+ических упражнений, включ+ите +яркий св+ет или подойд+ите к окну. Момент+альный прилив хорошего настроения гарант+ирован!","Дневной"
"Кофе перед сном","Кофе перед сном","Если вы собираетесь прилечь на 20-30 минут, и боитесь не встать по будильнику, как ни странно, вам может помочь чашка кофе перед сном. Кофеин напитка подействует не сразу, а как раз к тому моменту, как вам надо будет проснуться.","Если вы собир+аетесь прилечь на двадцать или тридцать минут, и боитесь не встать по будильнику, как ни странно, вам может помочь чашка кофе перед сном. Кофе+ин напитка подействует не сразу, а как раз к тому моменту, как вам надо будет проснуться.","Дневной"
"Ложитесь не позже 14-15 часов дня","Ложитесь не позже 14-15 часов дня","Дневной сон взрослого человека лучше планировать на время не позже 14-15 часов дня. Таким образом, вы можете спать днём, не боясь повредить свой ночной режим.","Дневной сон взр+ослого человека лучше планировать на время не позже чет+ырнадцати-пятн+адцати часов дня. Таким образом, вы можете спать днём, не боясь повредить свой ночной режим.","Дневной"
"Дневной сон вреден людям с бессоницей","Дневной сон вреден людям с бессоницей","Если вы страдаете от бессоницы, рекомендуется отказаться от дневного сна. Он может только ухудшить ваше самочувствуие.","Если вы страдаете от бессоницы, рекомендуется отказаться от дневного сна. Он может только ухудшить ваше самочувствуие.","Дневной"
"Холод и влажность","Холод и влажность","Как и ночному сну, дневному сну может помочь низкая температура, влажность и свежий воздух.","Как и ночному сну, дневному сну может помочь низкая температура, влажность и свежий воздух.","Дневной"
"Придумайте ритуал","Придумайте ритуал","Регулярная последовательность определённых действий может выработать «рефлекс» вашего организма на сон. Придумайте себе небольшой ритуал, который будет всегда знаменовать ваш дневной отдых. То же актуально и для ночного сна.","Регул+ярная посл+едовательность определ+ённых д+ействий может в+ыработать «рефлекс» вашего организма на сон. Придумайте себе небольшой риту+ал, который будет всегда знаменов+ать ваш дневной отдых. То же актуально и для ночного сна.","Дневной"
"Придумайте ритуал","Придумайте ритуал","Регулярная последовательность определённых действий может выработать «рефлекс» вашего организма на сон. Придумайте себе небольшой ритуал, который будет всегда знаменовать ваш ночной отдых. То же актуально и для дневного сна.","Регул+ярная посл+едовательность определ+ённых д+ействий может в+ыработать «рефлекс» вашего организма на сон. Придумайте себе небольшой риту+ал, который будет всегда знаменов+ать ваш ночной отдых. То же актуально и для дневного сна.","ночной"
"Белый и коричневый шум","Белый и коричневый шум","Альтернативой тихой обстановке могут служить наушники с белым шумом. Этот звук не отвлекает на себя внимания, а напротив, не пропускает те звуки, которые бы могли бы выступить для вас раздражителем. Существует так же так называемый «коричневый шум» — звук, специально разработанный для того, чтобы под него было проще расслабляться.","Альтернат+ивой тихой обстановке могут служить наушники с белым шумом. Этот звук не отвлекает на себя внимания, а напротив, не пропускает те звуки, которые бы могли бы выступить для вас раздраж+ителем. Существует так же так назыв+аемый «кор+ичневый шум», звук, специально разраб+отанный для того, чтобы под него было проще расслабляться.","Дневной"
"Сфокусируйтесь на своём дыхании","Сфокусируйтесь на своём дыхании","Если вы чувствуете себя напряжённо, и у вас возникают проблемы с тем, чтобы расслабиться, постарайтесь просто закрыть глаза и глубоко дышать. Сфокусируйтесь мысленно на своём дыхании и постарайтесь больше ни о чём не думать. Не прогоняйте мысли из своей головы, пускай они приходят и уходят, но самое важное для вас сейчас — ваше дыхание.","Если вы чувствуете себя напряж+ённо, и у вас возникают проблемы с тем, чтобы рассл+абиться, постарайтесь просто закрыть глаза и глубоко дышать. Сфокус+ируйтесь мысленно на своём дыхании и постарайтесь больше ни о чём не думать. Не прогоняйте мысли из своей головы, пускай они приходят и уходят, но самое важное для вас сейчас — ваше дыхание.","Дневной"
"Поставьте будильник","Поставьте будильник","Днём желательно регулировать продолжительность своего сна, чтобы не выпасть из графика и не нарушить свой ночной режим. Определите оптимальное для вас время сна и поставьте себе будильник.","Днём желательно регул+ировать продолж+ительность своего сна, чтобы не выпасть из графика и не нарушить свой ночной режим. Определите оптимальное для вас время сна и поставьте себе будильник.","Дневной"
"","","","","Дневной"
"","","","","Дневной"
